Czech Republic;10551000;50.87;72.99;100.00;100.00;81.30;0.00;0.00;0.00;89.75;26.13;7.40;5.10;99.10;100.00;28.90;38.00;3.84;100.00;100.00;0.25;0.31;0.30;0.38
Denmark;5676000;50.36;87.68;100.00;100.00;96.33;0.00;0.00;0.00;127.74;29.08;6.80;6.40;99.60;100.00;19.00;21.00;10.10;100.00;100.00;0.26;0.32;0.32;0.39
Djibouti;888000;49.78;77.34;12.95;65.19;11.92;0.70;0.40;0.00;9.57;44.13;26.60;26.60;47.40;90.00;2.81;21.91;12.65;40.97;57.28;4.91;5.92;5.93;7.11
Dominica;73000;50.37;69.54;79.75;98.94;67.60;0.00;0.00;0.00;29.77;47.07;14.72;8.94;85.93;95.64;2.70;21.20;9.25;92.97;91.95;1.81;2.10;1.96;2.28
Dominican Republic;10528000;50.17;78.98;96.65;98.57;51.93;0.30;0.30;0.00;39.01;47.07;23.10;8.70;84.00;84.70;10.30;19.10;3.95;92.97;91.95;2.31;2.81;2.77;3.38
Ecuador;16144000;50.01;63.74;92.30;99.51;48.94;0.10;0.10;0.00;31.44;45.38;5.40;3.40;84.70;86.90;3.60;15.10;2.40;93.60;95.45;1.60;2.07;1.90;2.40
Egypt, Arab Rep.;91508000;49.47;43.14;100.00;100.00;35.90;0.10;0.10;87.20;29.90;30.8;24.20;9.90;94.70;99.40;0.40;45.90;0.54;68.06;83.61;1.89;2.17;2.25;2.54
El Salvador;6127000;53.07;66.73;85.70;97.96;26.92;0.10;0.20;0.00;23.62;41.84;4.70;6.90;75.00;93.80;11.57;23.91;0.69;85.61;90.10;1.28;1.60;1.49;1.86
Equatorial Guinea;845000;48.75;39.92;43.00;93.10;21.32;1.10;0.60;0.00;111.56;33.73;26.60;26.60;74.50;47.90;2.81;21.91;1.28;92.89;97.34;6.19;7.42;8.76;10.05
Eritrea;6536000;48.33;53.86;11.95;100.00;1.08;0.20;0.20;0.00;3.87;30.8;18.47;8.40;15.70;57.80;0.40;45.90;9.18;65.61;82.29;2.98;3.81;4.14;5.13
Estonia;1312000;53.20;67.54;100.00;100.00;88.41;0.00;0.00;0.00;76.18;33.15;6.80;7.90;97.20;99.60;25.40;43.60;15.42;99.80;99.85;0.21;0.26;0.26;0.32
Ethiopia;99391000;50.09;19.47;7.55;100.00;11.60;0.00;0.00;0.00;4.46;33.17;6.50;2.70;28.00;57.30;0.50;8.90;1.08;40.97;57.28;3.63;4.63;5.36;6.45
Faroe Islands;48000;51.14;41.96;100.00;100.00;94.20;0.00;0.00;0.00;15.59;30.13;4.90;3.40;97.87;99.82;24.77;31.79;11.45;100.00;100.00;0.34;0.41;0.40;0.49
Fiji;892000;49.15;53.73;45.45;71.82;46.33;0.00;0.00;0.00;25.54;42.78;7.18;7.18;91.10;95.70;12.80;40.60;1.54;99.55;99.50;1.73;2.07;2.03;2.43
Finland;5482000;50.78;84.22;100.00;100.00;92.65;0.00;0.00;0.00;112.27;27.12;8.00;9.30;97.60;100.00;19.60;25.00;5.74;100.00;100.00;0.17;0.21;0.21;0.26
France;66808000;51.33;79.52;100.00;100.00;84.69;0.00;0.00;0.00;108.58;33.1;9.60;10.10;98.70;100.00;25.80;31.10;12.09;100.00;100.00;0.32;0.39;0.39;0.48
French Polynesia;283000;48.97;55.88;45.45;72.42;64.56;0.00;0.00;0.00;10.18;42.69;22.80;21.10;98.50;100.00;12.80;40.60;10.63;99.55;99.50;2.03;2.41;2.43;2.89
Gabon;1725000;49.43;87.16;44.90;98.10;23.50;1.10;0.50;0.00;55.02;42.18;26.60;26.60;41.90;93.20;2.81;21.91;15.56;81.11;85.31;3.16;4.02;4.58;5.53
Gambia, The;1991000;50.50;59.63;25.65;41.01;17.12;0.60;0.30;74.90;4.60;47.33;38.30;20.90;58.90;90.20;2.81;21.91;9.67;47.64;63.93;4.33;5.27;6.41;7.41
Georgia;3679000;52.29;53.64;100.00;100.00;45.16;0.10;0.10;0.00;26.57;40.09;10.40;14.00;86.30;100.00;5.80;58.60;4.22;99.73;99.79;0.93;1.19;1.05;1.33
Germany;81413000;50.86;75.30;100.00;100.00;87.59;0.00;0.00;0.00;129.80;30.13;4.60;5.30;99.20;100.00;28.70;33.60;14.88;100.00;100.00;0.28;0.34;0.34;0.41
Ghana;27410000;50.25;54.04;40.95;84.95;23.48;0.60;0.30;0.00;11.54;42.77;5.50;4.80;14.90;88.70;0.50;12.10;1.46;71.35;82.03;3.82;4.71;5.62;6.67
Gibraltar;32000;51.14;100.00;100.00;100.00;79.63;0.00;0.00;0.00;103.74;30.13;10.21;10.09;97.87;99.82;24.77;31.79;34.35;100.00;100.00;0.34;0.41;0.40;0.49
Greece;10824000;51.21;78.01;100.00;100.00;66.84;0.10;0.20;0.00;72.96;36.68;30.20;23.60;99.00;100.00;34.20;54.30;11.34;93.65;97.04;0.33;0.39;0.43;0.49
Greenland;56000;51.14;86.44;100.00;100.00;67.60;0.00;0.00;0.00;42.97;30.13;9.80;9.60;100.00;100.00;24.77;31.79;10.69;100.00;100.00;0.34;0.41;0.40;0.49
Grenada;107000;49.84;35.59;79.75;100.00;53.81;0.00;0.00;0.00;37.15;47.07;14.72;8.94;98.00;96.60;2.70;21.20;6.61;92.97;91.95;1.00;1.15;1.09;1.27
Guam;170000;49.29;94.52;45.45;60.33;73.14;0.00;0.00;0.00;42.31;42.69;10.80;11.90;89.80;99.50;12.80;40.60;44.79;99.80;99.77;2.03;2.41;2.43;2.89
Guatemala;16343000;51.09;51.57;72.10;84.84;27.10;0.20;0.20;0.00;21.16;48.66;2.90;3.00;63.90;92.80;11.57;23.91;0.47;73.92;84.71;2.15;2.70;2.60;3.21
Guinea;12609000;49.86;37.16;2.90;74.20;4.70;0.70;0.30;96.90;3.31;33.73;0.90;2.50;20.10;76.80;2.81;21.91;1.81;22.87;38.09;5.53;6.63;8.82;9.90
Guinea-Bissau;1844000;50.36;49.33;21.45;100.00;3.54;0.00;0.00;44.90;3.99;50.66;26.60;26.60;20.80;79.30;2.81;21.91;1.21;48.14;71.70;5.37;6.63;8.46;9.99
Guyana;767000;49.74;28.55;75.05;90.54;38.20;0.80;0.60;0.00;20.61;44.55;7.00;5.04;83.70;98.30;11.57;23.91;2.01;89.24;85.84;2.78;3.60;3.44;4.42
Haiti;10711000;50.54;58.65;15.00;72.30;12.20;0.40;0.30;0.00;4.81;60.79;14.72;8.94;27.60;57.70;2.70;21.20;0.37;57.17;64.39;4.70;5.73;6.31;7.46
Honduras;8075000;50.02;54.73;65.80;96.90;20.36;0.20;0.20;0.00;13.96;50.64;7.00;5.04;82.60;91.20;2.40;37.20;0.35;88.53;88.32;1.54;1.93;1.81;2.26
Hong Kong SAR, China;7306000;53.05;100.00;100.00;100.00;84.95;0.00;0.00;0.00;155.95;42.16;2.90;3.50;77.21;94.13;3.34;49.74;38.95;94.47;98.16;1.27;1.56;1.54;1.87
Hungary;9845000;52.40;71.23;100.00;100.00;72.83;0.00;0.00;0.00;70.68;30.55;7.90;7.60;98.00;100.00;26.50;34.50;4.56;99.37;99.39;0.49;0.57;0.54;0.64
Iceland;331000;49.91;94.14;100.00;100.00;98.20;0.00;0.00;0.00;127.53;26.94;4.80;5.00;98.80;100.00;16.90;19.30;11.39;100.00;100.00;0.14;0.17;0.18;0.22
India;1311051000;48.17;32.75;69.65;98.23;26.00;0.00;0.00;0.00;16.71;35.15;7.70;4.10;39.60;94.10;2.40;22.80;0.40;62.98;80.94;3.80;3.78;4.92;4.63
Indonesia;257564000;49.65;53.74;92.90;99.10;21.98;0.40;0.40;0.00;30.29;39.47;6.40;6.00;60.80;87.40;4.00;71.80;0.13;93.82;97.06;1.99;2.56;2.39;3.03
Iran, Islamic Rep.;79109000;49.65;73.38;97.25;100.00;44.08;0.10;0.10;0.00;47.64;37.35;19.70;8.80;90.00;96.20;1.10;22.90;3.45;83.18;91.14;1.26;1.41;1.49;1.62
Iraq;36423000;49.38;69.47;96.85;100.00;17.22;0.00;0.00;0.00;42.18;29.5;18.47;8.40;85.60;86.60;0.40;45.90;0.97;73.83;85.60;2.38;2.90;2.89;3.49
Ireland;4641000;50.09;63.24;100.00;100.00;80.12;0.00;0.00;0.00;178.48;32.52;9.40;12.80;90.50;97.90;23.50;24.20;15.92;100.00;100.00;0.27;0.33;0.33;0.39
Isle of Man;88000;51.14;52.20;100.00;100.00;79.63;0.00;0.00;0.00;51.53;30.13;1.70;3.40;97.87;99.82;24.77;31.79;51.52;100.00;100.00;0.34;0.41;0.40;0.49
Israel;8380000;50.41;92.14;100.00;100.00;78.89;0.00;0.00;0.00;98.17;42.78;5.90;5.90;100.00;100.00;20.10;41.70;24.95;97.49;98.51;0.30;0.34;0.37;0.43
Italy;60802000;51.39;68.96;100.00;100.00;65.57;0.10;0.10;0.00;98.71;35.16;13.80;11.90;99.50;100.00;19.80;29.10;9.68;98.79;99.26;0.27;0.31;0.32;0.38
Jamaica;2726000;50.20;54.79;86.65;98.12;43.18;0.60;0.80;0.00;24.91;45.46;20.10;11.20;81.80;93.80;6.40;29.50;0.83;93.01;83.88;1.18;1.52;1.37;1.76
Japan;126958000;51.37;93.50;100.00;100.00;93.33;0.00;0.00;0.00;102.25;32.11;3.30;3.60;100.00;100.00;11.30;36.30;1.61;94.47;98.16;0.19;0.21;0.25;0.29
Jordan;7595000;48.79;83.68;99.40;99.50;53.40;0.00;0.00;0.00;29.87;33.7;22.20;10.60;98.60;96.90;10.00;63.60;40.98;97.49;98.51;1.44;1.62;1.69;1.89
Kazakhstan;17544000;51.71;53.25;100.00;100.00;72.87;0.10;0.10;0.00;68.62;26.33;5.90;4.60;97.50;92.90;9.70;46.30;20.12;99.77;99.80;1.07;1.45;1.20;1.61
Kenya;46050000;50.02;25.62;6.70;58.20;45.62;4.00;2.30;21.00;8.46;48.51;26.60;26.60;30.10;63.20;2.30;25.70;2.35;74.97;81.11;3.20;3.88;4.52;5.34
Kiribati;112000;50.70;44.30;45.45;76.94;13.00;0.00;0.00;0.00;5.47;37.61;7.18;7.18;39.70;66.90;42.60;67.30;2.80;99.55;99.50;3.90;4.79;5.09;6.07
Korea, Dem. People’s Rep.;25155000;51.10;60.88;12.75;40.55;0.00;0.00;0.00;0.00;43.57;86;4.12;4.12;81.90;99.70;3.34;49.74;0.19;100.00;100.00;1.75;2.19;2.22;2.75
Korea, Rep.;50617000;50.30;82.47;100.00;100.00;89.90;0.00;0.00;0.00;94.66;30.2;3.50;3.60;100.00;97.60;4.40;51.70;2.64;94.47;98.16;0.27;0.31;0.32;0.37
Kosovo;1797000;48.47;62.36;100.00;100.00;68.16;0.00;0.00;0.00;26.74;26.71;40.00;28.10;93.02;99.19;25.71;37.57;3.28;96.99;99.08;0.51;0.61;0.59;0.71
Kuwait;3892000;43.82;98.34;92.85;97.78;82.08;0.00;0.00;0.00;204.51;45.9;22.00;2.90;100.00;99.00;3.00;26.30;73.64;95.23;96.77;0.68;0.78;0.79;0.92
Kyrgyz Republic;5957000;50.50;35.71;100.00;99.80;30.25;0.10;0.10;0.00;9.41;26.82;9.70;7.40;93.30;90.00;3.80;50.20;3.44;99.37;99.64;1.68;2.11;1.89;2.37
Lao PDR;6802000;50.23;38.61;54.75;97.91;18.20;0.00;0.00;0.00;15.59;37.89;4.12;4.12;70.90;75.70;10.70;59.80;0.33;72.82;87.16;4.51;5.61;6.06;7.25
Latvia;1978000;54.12;67.38;100.00;100.00;79.20;0.30;0.40;0.00;66.46;35.48;9.80;11.80;87.80;99.30;24.40;50.50;13.35;99.91;99.87;0.64;0.75;0.72;0.86
Lebanon;5851000;49.78;87.79;100.00;100.00;74.00;0.10;0.10;0.00;38.18;35.3;18.47;8.40;80.70;99.00;29.40;43.00;34.15;92.04;96.04;0.68;0.73;0.79;0.86
Lesotho;2135000;50.50;27.31;10.15;46.93;16.07;9.10;5.10;0.00;8.08;54.18;27.20;22.10;30.30;81.80;0.40;50.10;0.31;88.29;70.07;6.26;7.53;8.31;9.71
Liberia;4503000;49.60;49.70;1.20;18.91;5.90;0.60;0.30;0.00;2.29;36.48;8.24;8.24;16.90;75.60;2.70;25.40;2.53;32.81;62.42;4.82;5.72;6.48;7.47
Libya;6278000;49.72;78.55;100.00;100.00;19.02;0.00;0.00;0.00;30.20;35.3;25.10;15.90;96.60;96.60;0.40;45.90;12.28;85.81;97.00;1.02;1.27;1.20;1.47
Liechtenstein;38000;51.14;14.29;100.00;100.00;96.64;0.00;0.00;0.00;103.74;30.13;3.10;2.30;97.87;99.82;24.77;31.79;62.60;100.00;100.00;0.34;0.41;0.40;0.49
Lithuania;2910000;53.96;66.51;100.00;100.00;71.38;0.00;0.00;0.00;75.84;35.15;9.20;12.20;92.40;96.60;21.90;40.50;4.73;99.84;99.80;0.30;0.35;0.47;0.56
Luxembourg;570000;49.81;90.16;100.00;100.00;97.33;0.00;0.00;0.00;279.25;34.79;5.80;5.90;97.60;100.00;22.30;27.40;43.96;100.00;100.00;0.13;0.16;0.17;0.20
Macao SAR, China;588000;51.84;100.00;72.43;90.54;77.60;0.00;0.00;0.00;305.47;42.16;1.40;1.90;77.21;94.13;3.34;49.74;58.32;94.60;98.02;1.27;1.56;1.54;1.87
